fecha,AFORO,TFAREAL,IGAE,DUMMONUMENTO,MAR,JUN,AFORO_L1,TFAREAL_L2,D_AFORO,D_IGAE,LOG_AFORO,LOG_IGAE,LOG_TFAREAL
2018-05-01,273189,161.1560002,102.0,0,0,0,285943.0,160.3492223,-12754.0,3.0999999999999943,12.51791914232498,4.624972813284271,5.082372841201553
2018-06-01,260557,160.5358976,101.2,0,0,1,273189.0,160.8947064,-12632.0,-0.7999999999999972,12.470576926220952,4.617098756853365,5.078517578620855
2018-07-01,290919,159.6800506,100.1,0,0,0,260557.0,161.1560002,30362.0,-1.1000000000000083,12.58080015689147,4.6061696863211745,5.0731721294468715
2018-08-01,274992,158.7538312,101.6,0,0,0,290919.0,160.5358976,-15927.0,1.5,12.52449728531647,4.6210435351443815,5.067354771024899
2018-09-01,275452,158.0852582,98.0,0,0,0,274992.0,159.6800506,460.0,-3.5999999999999943,12.52616866372039,4.584967478670572,5.063134496351218
2018-10-01,261204,157.270209,102.3,0,0,0,275452.0,158.7538312,-14248.0,4.299999999999997,12.473056990202837,4.627909672957581,5.05796540242653
2018-11-01,309228,155.9435207,104.0,0,0,0,261204.0,158.0852582,48024.0,1.7000000000000028,12.641834147869687,4.6443908991413725,5.049493894899901
2018-12-01,327288,154.8581829,100.0,0,0,0,309228.0,157.270209,18060.0,-4.0,12.69859579620578,4.605170185988092,5.042509749065636
2019-01-01,252374,154.7260154,98.5,0,0,0,327288.0,155.9435207,-74914.0,-1.5,12.438667393249686,4.590056548178043,5.041655910214976
2019-02-01,272599,157.6534503,95.9,0,0,0,252374.0,154.8581829,20225.0,-2.5999999999999943,12.515757129859264,4.563305981889393,5.060399271574604
2019-03-01,315420,160.8790444,99.9,0,1,0,272599.0,154.7260154,42821.0,4.0,12.661660363041548,4.604169685654508,5.080652805615826
2019-04-01,322814,160.7935787,97.7,0,0,0,315420.0,157.6534503,7394.0,-2.200000000000003,12.684831584945512,4.581901559048737,5.080121422489793
2019-05-01,287545,161.2577374,101.3,0,0,0,322814.0,160.8790444,-35269.0,3.5999999999999943,12.569134648710424,4.618086411254637,5.083003938400662
2019-06-01,275896,161.1547062,99.9,0,0,1,287545.0,160.7935787,-11649.0,-1.3999999999999917,12.527779262093755,4.604169685654508,5.08236481168237
2019-07-01,294562,160.5516603,100.5,0,0,0,275896.0,161.2577374,18666.0,0.5999999999999943,12.593244786232011,4.61015772749913,5.0786157618087415
2019-08-01,291482,160.5779878,100.1,0,0,0,294562.0,161.1547062,-3080.0,-0.4000000000000057,12.582733533294917,4.6061696863211745,5.07877972985227
2019-09-01,279501,160.1577803,97.5,0,0,0,291482.0,160.5516603,-11981.0,-2.5999999999999943,12.54076114938842,4.579852378003801,5.0761594562051355
2019-10-01,265527,159.2980106,100.5,0,0,0,279501.0,160.5779878,-13974.0,3.0,12.489471809408808,4.61015772749913,5.070776728451331
2019-11-01,317088,158.0232757,102.9,0,0,0,265527.0,160.1577803,51561.0,2.4000000000000057,12.666934616858626,4.633757642840004,5.062742336734205
2019-12-01,337387,157.1461476,99.9,0,0,0,317088.0,159.2980106,20299.0,-3.0,12.728985918416912,4.604169685654508,5.0571762487846526
2020-01-01,296729,156.3888132,98.3,0,0,0,337387.0,158.0232757,-40658.0,-1.6000000000000083,12.600574543329254,4.5880240271531205,5.052345298698823
2020-02-01,282634,160.2174734,95.3,0,0,0,296729.0,157.1461476,-14095.0,-3.0,12.551908053389926,4.557029810660157,5.0765321010957845
2020-03-01,277388,161.0103521,96.9,0,1,0,282634.0,156.3888132,-5246.0,1.6000000000000083,12.533172527095166,4.5736795188967205,5.08146866167515
2020-04-01,197883,162.6592029,76.3,0,0,0,277388.0,160.2174734,-79505.0,-20.60000000000001,12.19543122593018,4.334672938290411,5.091657232320868
2020-05-01,213457,162.035606,76.9,0,0,0,197883.0,161.0103521,15574.0,0.6000000000000085,12.271190686213853,4.3425058765115985,5.08781610120553
2020-06-01,242456,161.1536494,86.5,0,0,1,213457.0,162.6592029,28999.0,9.599999999999994,12.39857552959788,4.460144413937834,5.082358253987035
2020-07-01,287160,160.10223,90.5,0,0,0,242456.0,162.035606,44704.0,4.0,12.56779483069042,4.505349850705881,5.075812548700168
2020-08-01,309204,159.4743898,91.5,0,0,0,287160.0,161.1536494,22044.0,1.0,12.641756532222336,4.516338972281476,5.071883343815635
2020-09-01,293520,159.1100505,93.0,0,0,0,309204.0,160.10223,-15684.0,1.5,12.589701059029164,4.532599493153256,5.069596104310199
2020-10-01,325236,158.1446302,96.4,0,0,0,293520.0,159.4743898,31716.0,3.4000000000000057,12.692306351635889,4.5685062016165,5.0635099953339235
2020-11-01,333273,158.0255016,99.3,0,0,0,325236.0,159.1100505,8037.0,2.8999999999999915,12.716717252913687,4.598145571051127,5.062756422534625
2020-12-01,339723,157.425337,98.0,0,0,0,333273.0,158.1446302,6450.0,-1.2999999999999972,12.735885858656792,4.584967478670572,5.058951295074436
2021-01-01,291272,156.0840577,93.1,0,0,0,339723.0,158.0255016,-48451.0,-4.900000000000006,12.582012817489998,4.533674184283021,5.050394693542276
2021-02-01,288813,159.9277773,90.9,0,0,0,291272.0,157.425337,-2459.0,-2.1999999999999886,12.573534698838133,4.509760001183433,5.074722321450847
2021-03-01,343298,158.7935327,99.8,0,1,0,288813.0,156.0840577,54485.0,8.899999999999991,12.746354153620482,4.603168183317418,5.067604821913178
2021-04-01,333477,158.2754969,96.2,0,0,0,343298.0,159.9277773,-9821.0,-3.5999999999999943,12.717329176442345,4.566429357671661,5.064337165897699
2021-05-01,348784,157.9530862,98.2,0,0,0,333477.0,158.7935327,15307.0,2.0,12.762208098405196,4.58700621536042,5.062298066151858
2021-06-01,311460,157.1159284,98.4,0,0,1,348784.0,158.2754969,-37324.0,0.2000000000000028,12.649026198049327,4.589040804058207,5.056983930319263
2021-07-01,342438,156.1982372,97.3,0,0,0,311460.0,157.9530862,30978.0,-1.1000000000000083,12.743845898400163,4.577798989191959,5.051125951810533
2021-08-01,324654,155.9006488,96.1,0,0,0,342438.0,157.1159284,-17784.0,-1.2000000000000028,12.690515278821763,4.565389315976247,5.04921893769715
2021-09-01,323994,154.9456637,93.7,0,0,0,324654.0,156.1982372,-660.0,-2.3999999999999915,12.688480276084478,4.540098189244376,5.043074498685663
2021-10-01,356973,153.6584834,96.3,0,0,0,323994.0,155.9006488,32979.0,2.5999999999999943,12.785415427649564,4.56746831880408,5.034732499548272
2021-11-01,366169,151.9192362,101.1,0,0,0,356973.0,154.9456637,9196.0,4.799999999999997,12.810850254444288,4.616110126026426,5.023349038845263
2021-12-01,411792,151.3701367,99.7,0,0,0,366169.0,153.6584834,45623.0,-1.3999999999999917,12.928273646480855,4.602165676967792,5.019728073859222
2022-01-01,346889,150.4798902,94.8,0,0,0,411792.0,151.9192362,-64903.0,-4.900000000000006,12.75676012302874,4.551769409260976,5.013829455327437
2022-02-01,332272,154.4884898,93.6,0,0,0,346889.0,151.3701367,-14617.0,-1.2000000000000028,12.71370918958276,4.539030383483547,5.040119593886186
2022-03-01,369040,158.1692757,101.6,0,1,0,332272.0,150.4798902,36768.0,8.0,12.818660318231702,4.6210435351443815,5.063665824714739
2022-04-01,390823,157.3182627,98.5,0,0,0,369040.0,154.4884898,21783.0,-3.0999999999999943,12.87601005105253,4.590056548178043,5.05827090440576
2022-05-01,352514,157.0413809,101.6,0,0,0,390823.0,158.1692757,-38309.0,3.0999999999999943,12.772845616757843,4.6210435351443815,5.056509343230615
2022-06-01,319583,155.7263118,100.3,0,0,1,352514.0,157.3182627,-32931.0,-1.2999999999999972,12.674772299970178,4.60816569496789,5.048100054928778
2022-07-01,352340,154.5813027,99.7,0,0,0,319583.0,157.0413809,32757.0,-0.5999999999999943,12.772351897481132,4.602165676967792,5.040720188994748
2022-08-01,347049,153.5137436,101.7,0,0,0,352340.0,155.7263118,-5291.0,2.0,12.75722125933439,4.622027303054514,5.033790097872666
2022-09-01,332752,152.567307,98.8,0,0,0,347049.0,154.5813027,-14297.0,-2.9000000000000057,12.715152746757704,4.593097604753822,5.027605856054997
2022-10-01,342908,151.7087231,100.8,0,0,0,332752.0,153.5137436,10156.0,2.0,12.745217468595891,4.613138355637268,5.021962387008477
2022-11-01,355961,150.8405914,105.8,0,0,0,342908.0,152.567307,13053.0,5.0,12.782576453271268,4.661550519424199,5.016223593093157
2022-12-01,405086,150.2669397,104.0,0,0,0,355961.0,151.7087231,49125.0,-1.7999999999999972,12.911854669225535,4.6443908991413725,5.012413310487875
2023-01-01,362011,149.2544292,99.3,0,0,0,405086.0,150.8405914,-43075.0,-4.700000000000003,12.799429877086572,4.598145571051127,5.005652428214286
2023-02-01,325067,170.559299,97.1,0,0,0,362011.0,150.2669397,-36944.0,-2.200000000000003,12.691786593911244,4.575741375297279,5.139083030978415
2023-03-01,348848,176.1236399,104.2,0,1,0,325067.0,149.2544292,23781.0,7.1000000000000085,12.762391576227827,4.646312129319266,5.171186247832746
2023-04-01,371286,176.1593138,100.4,0,0,0,348848.0,170.559299,22438.0,-3.799999999999997,12.824727934094758,4.609162207257629,5.171388777644349
2023-05-01,337018,176.5430343,106.0,0,0,0,371286.0,176.1236399,-34268.0,5.599999999999994,12.727891620371013,4.663439094112067,5.17356466705059
2023-06-01,309074,176.364032,104.2,0,0,1,337018.0,176.1593138,-27944.0,-1.7999999999999972,12.641336009409246,4.646312129319266,5.172550222555456
2023-07-01,343533,175.5180235,103.0,0,0,0,309074.0,176.5430343,34459.0,-1.2000000000000028,12.747038455899125,4.634728988229636,5.167741735638539
2023-08-01,329425,174.5519935,105.3,0,0,0,343533.0,176.364032,-14108.0,2.299999999999997,12.705103989413454,4.6568134191399295,5.162222654282162
2023-09-01,312196,173.7806486,102.9,0,0,0,329425.0,175.5180235,-17229.0,-2.3999999999999915,12.651386474681583,4.633757642840004,5.157793863709308
2023-10-01,313118,173.130014,105.6,0,0,0,312196.0,174.5519935,922.0,2.6999999999999886,12.65433539528196,4.659658371272161,5.154042838255072
2023-11-01,349319,172.0288942,108.3,0,0,0,313118.0,173.7806486,36201.0,2.700000000000003,12.763740823818887,4.684905154006945,5.147662452239675
2023-12-01,387553,170.8228868,104.7,0,0,0,349319.0,173.130014,38234.0,-3.5999999999999943,12.86760789261635,4.651099117876491,5.140627270035665
2024-01-01,335453,169.3110554,101.2,0,0,0,387553.0,172.0288942,-52100.0,-3.5,12.723237136161655,4.617098756853365,5.131737587656829
